"GUIDE_NUM","LAST_NAME","FIRST_NAME","ADDRESS","CITY","STATE","POSTAL_CODE","PHONE_NUM","HIRE_DATE"
"AM01","Abrams         ","Miles          ","54 Quest Ave.            ","Williamsburg             ","MA","01096","617-555-6032","06/03/2012"
"BR01","Boyers         ","Rita           ","140 Oakton Rd.           ","Jaffrey                  ","NH","03452","603-555-2134","03/04/2012"
"DH01","Devon          ","Harley         ","25 Old Ranch Rd.         ","Sunderland               ","MA","01375","781-555-7767","01/08/2012"
"GZ01","Gregory        ","Zach           ","7 Moose Head Rd.         ","Dummer                   ","NH","03588","603-555-8765","11/04/2012"
"KS01","Kiley          ","Susan          ","943 Oakton Rd.           ","Jaffrey                  ","NH","03452","603-555-1230","04/08/2013"
"KS02","Kelly          ","Sam            ","9 Congaree Ave.          ","Fraconia                 ","NH","03580","603-555-0003","06/10/2013"
"MR01","Marston        ","Ray            ","24 Shenandoah Rd.        ","Springfield              ","MA","01101","781-555-2323","09/14/2015"
"RH01","Rowan          ","Hal            ","12 Heather Rd.           ","Mount Desert             ","ME","04660","207-555-9009","06/02/2014"
"SL01","Stevens        ","Lori           ","15 Riverton Rd.          ","Coventry                 ","VT","05825","802-555-3339","09/05/2014"
"UG01","Unser          ","Glory          ","342 Pineview St.         ","Danbury                  ","CT","06810","203-555-8534","02/02/2015"
