CUSTOMER_NUM,LAST_NAME,FIRST_NAME,ADDRESS,CITY,STATE,POSTAL_CODE,PHONE
101,Northfold                     ,Liam                          ,9 Old Mill Rd.                     ,Londonderry                        ,NH,3053,603-555-7563
102,Ocean                         ,Arnold                        ,2332 South St. Apt 3               ,Springfield                        ,MA,1101,413-555-3212
103,Kasuma                        ,Sujata                        ,132 Main St. #1                    ,East Hartford                      ,CT,6108,860-555-0703
104,Goff                          ,Ryan                          ,164A South Bend Rd.                ,Lowell                             ,MA,1854,781-555-8423
105,McLean                        ,Kyle                          ,345 Lower Ave.                     ,Wolcott                            ,NY,14590,585-555-5321
106,Morontoia                     ,Joseph                        ,156 Scholar St.                    ,Johnston                           ,RI,2919,401-555-4848
107,Marchand                      ,Quinn                         ,76 Cross Rd.                       ,Bath                               ,NH,3740,603-555-0456
108,Rulf                          ,Uschi                         ,32 Sheep Stop St.                  ,Edinboro                           ,PA,16412,814-555-5521
109,Caron                         ,Jean Luc                      ,10 Greenfield St.                  ,Rome                               ,ME,4963,207-555-9643
110,Bers                          ,Martha                        ,65 Granite St.                     ,York                               ,NY,14592,585-555-0111
112,Jones                         ,Laura                         ,373 Highland Ave.                  ,Somerville                         ,MA,2143,857-555-6258
115,Vaccari                       ,Adam                          ,1282 Ocean Walk                    ,Ocean CITY                         ,NJ,8226,609-555-5231
116,Murakami                      ,Iris                          ,7 Cherry Blossom St.               ,Weymouth                           ,MA,2188,617-555-6665
119,Chau                          ,Clement                       ,18 Ark Ledge Ln.                   ,Londonderry                        ,VT,5148,802-555-3096
120,Gernowski                     ,Sadie                         ,24 Stump Rd.                       ,Athens                             ,ME,4912,207-555-4507
121,Bretton-Borak                 ,Siam                          ,10 Old Main St.                    ,Cambridge                          ,VT,5444,802-555-3443
122,Hefferson                     ,Orlagh                        ,132 South St. Apt 27               ,Manchester                         ,NH,3101,603-555-3476
123,Barnett                       ,Larry                         ,25 Stag Rd.                        ,Fairfield                          ,CT,6824,860-555-9876
124,Busa                          ,Karen                         ,12 Foster St.                      ,South Windsor                      ,CT,6074,857-555-5532
125,Peterson                      ,Becca                         ,51 Fredrick St.                    ,Albion                             ,NY,14411,585-555-0900
126,Brown                         ,Brianne                       ,154 Central St.                    ,Vernon                             ,CT,6066,860-555-3234
